,Player,Team
0,369,Top Esports
1,Karsa,Top Esports
2,knight,Top Esports
3,QiuQiu,Top Esports
4,yuyanjia,Top Esports
5,JackeyLove,Top Esports
6,Wunder,G2 Esports
7,Jankos,G2 Esports
8,Caps,G2 Esports
9,Perkz,G2 Esports
10,Mikyx,G2 Esports
11,P1noy,G2 Esports
12,Nuguri,DAMWON Gaming
13,Canyon,DAMWON Gaming
14,ShowMaker,DAMWON Gaming
15,Ghost,DAMWON Gaming
16,BeryL,DAMWON Gaming
17,Broken Blade,Team SoloMid
18,Spica,Team SoloMid
19,Bjergsen,Team SoloMid
20,Doublelift,Team SoloMid
21,Biofrost,Team SoloMid
22,Treatz,Team SoloMid
23,Zoom,JD Gaming
24,Kanavi,JD Gaming
25,Yagao,JD Gaming
26,LokeN,JD Gaming
27,LvMao,JD Gaming
28,Bin,Suning
29,SofM,Suning
30,Angel,Suning
31,huanfeng,Suning
32,SwordArt,Suning
33,Bwipo,Fnatic
34,Selfmade,Fnatic
35,Nemesis,Fnatic
36,Rekkles,Fnatic
37,Hylissang,Fnatic
38,Doran,DRX
39,Pyosik,DRX
40,Chovy,DRX
41,Deft,DRX
42,Keria,DRX
43,Finn,Rogue
44,Inspired,Rogue
45,Larssen,Rogue
46,Hans sama,Rogue
47,Vander,Rogue
48,Rascal,Gen.G
49,Clid,Gen.G
50,Bdd,Gen.G
51,Ruler,Gen.G
52,Life,Gen.G
53,Kellin,Gen.G
54,Solo,FlyQuest
55,Santorin,FlyQuest
56,PowerOfEvil,FlyQuest
57,WildTurtle,FlyQuest
58,IgNar,FlyQuest
59,MasH,FlyQuest
60,PK,Machi Esports
61,Gemini,Machi Esports
62,M1ssion,Machi Esports
63,Bruce,Machi Esports
64,Koala,Machi Esports
65,Atlen,Machi Esports
66,Garvey,LGD Gaming
67,Peanut,LGD Gaming
68,xiye,LGD Gaming
69,Kramer,LGD Gaming
70,Mark,LGD Gaming
71,Langx,LGD Gaming
72,Killua,LGD Gaming
73,Impact,Team Liquid
74,Broxah,Team Liquid
75,Jensen,Team Liquid
76,Tactical,Team Liquid
77,CoreJJ,Team Liquid
78,Hanabi,PSG Talon
79,River,PSG Talon
80,Tank,PSG Talon
81,Unified,PSG Talon
82,Kaiwing,PSG Talon
83,Candy,PSG Talon
84,BOSS,Unicorns Of Love.CIS
85,AHaHaCiK,Unicorns Of Love.CIS
86,Nomanz,Unicorns Of Love.CIS
87,Gadget,Unicorns Of Love.CIS
88,SaNTaS,Unicorns Of Love.CIS
